가난한
가벼운
가득한
가련한
가엾은
간단한
갑작스러운
강력한
강한
거대한
거친
건강한
검은
겸손한
경쾌한
고급스러운
고독한
고요한
고운
고장난
고집스러운
괜찮은
귀여운
균형 잡힌
그윽한
근면한
급한
기나긴
기묘한
기쁜
깊은
깨끗한
꼼꼼한
나쁜
낙천적인
날카로운
낡은
남다른
너그러운
넓은
놀라운
느린
능숙한
다양한
단단한
단순한
달콤한
당당한
대단한
더러운
덥다
도전적인
독특한
돈많은
동그란
따뜻한
똑똑한
뛰어난
막강한
막중한
만족스러운
많은
매끄러운
매력적인
맑은
머나먼
멋진
메마른
명랑한
명확한
모호한
못된
무거운
무딘
무모한
무서운
무시무시한
미끄러운
미묘한
미숙한
미안한
밝은
방대한
번쩍이는
변덕스러운
별난
보람찬
보배로운
보통의
복잡한
부드러운
분명한
불가사의한
불공평한
불길한
불쌍한
불행한
불확실한
붉은
비밀스러운
비싼
빠른
빛나는
뾰족한
사랑스러운
사소한
사악한
산뜻한
상냥한
상쾌한
생기있는
서툰
선명한
섬세한
성가신
성실한
세련된
소박한
소중한
손쉬운
수상한
수줍은
순수한
순진한
슬픈
시원한
신기한
신비로운
신선한
신중한
신중한
싫은
심각한
심각한
쓰디쓴
쓸쓸한
아늑한
아름다운
아쉬운
아픈
안전한
안정된
앙증맞은
어두운
어려운
어린
엄격한
엄청난
없는
여린
연약한
열정적인
예민한
예쁜
완벽한
외로운
외진
우아한
우울한
웅장한
원대한
위대한
위험한
유능한
유명한
유쾌한
유한한
은밀한
음습한
의심스러운
이기적인
이상한
익숙한
인기있는
자랑스러운
자상한
자연스러운
작은
재미있는
적당한
적절한
젊은
정교한
정성스러운
정직한
조그마한
조용한
존경스러운
좁은
좋은
주의깊은
중요한
즐거운
지루한
지저분한
진귀한
진실된
진지한
짙은
짧은
차가운
차분한
착한
참을성있는
창의적인
철저한
청결한
청순한
초라한
촉촉한
최고의
추운
충실한
친절한
커다란
큰
탁월한
탐스러운
태평한
특별한
특이한
파란
편리한
편안한
평범한
평온한
평화로운
포근한
푸른
풍부한
피곤한
하얀
한가한
함께하는
허술한
험악한
현명한
현실적인
호기심많은
호화로운
화려한
화목한
화사한
확고한
활기찬
활발한
황금빛
회색
훌륭한
흐린
흥미로운
희귀한
힘겨운
힘든
힘찬 
